time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
1.009991,-0.456023,-0.455082,0.066424,0.066412,-0.009831,-0.009529
1.014991,-0.467646,-0.469061,0.065817,0.065689,-0.009487,-0.009119
1.019992,-0.478758,-0.477964,0.065188,0.065186,-0.009116,-0.008821
1.024992,-0.489666,-0.491083,0.064637,0.064529,-0.008765,-0.008402
1.029992,-0.500569,-0.499822,0.064231,0.064206,-0.008475,-0.008171
1.034992,-0.511541,-0.513016,0.064005,0.063940,-0.008279,-0.007936
1.039993,-0.522580,-0.521867,0.064022,0.063956,-0.008217,-0.007887
1.044993,-0.533601,-0.535118,0.064275,0.064266,-0.008291,-0.007976
1.049993,-0.544474,-0.543839,0.064761,0.064658,-0.008508,-0.008150
1.054993,-0.555100,-0.556618,0.065402,0.065430,-0.008833,-0.008538
1.059994,-0.565334,-0.564839,0.066110,0.066002,-0.009214,-0.008844
1.064994,-0.574331,-0.575645,0.066753,0.066778,-0.009558,-0.009254
1.069994,-0.580546,-0.580668,0.067225,0.067159,-0.009786,-0.009438
1.074994,-0.582319,-0.582812,0.067445,0.067426,-0.009831,-0.009490
1.079994,-0.578084,-0.579477,0.067315,0.067325,-0.009614,-0.009316
1.084995,-0.566502,-0.565617,0.066787,0.066696,-0.009105,-0.008704
1.089995,-0.546481,-0.549651,0.065798,0.065910,-0.008283,-0.008041
1.094995,-0.517284,-0.514671,0.064290,0.064112,-0.007153,-0.006674
1.099995,-0.478701,-0.483836,0.062216,0.062465,-0.005750,-0.005536
1.104996,-0.431144,-0.426835,0.059575,0.059318,-0.004153,-0.003587
1.109996,-0.375734,-0.382501,0.056312,0.056727,-0.002432,-0.002178
1.114996,-0.314456,-0.309039,0.052391,0.052054,-0.000680,-0.000016
1.119996,-0.249831,-0.257318,0.047911,0.048489,0.000968,0.001354
1.124997,-0.184262,-0.178684,0.042994,0.042618,0.002407,0.003162
1.129997,-0.119664,-0.126991,0.037790,0.038468,0.003565,0.004147
1.134997,-0.057573,-0.052509,0.032439,0.032064,0.004409,0.005245
1.139997,0.000840,-0.005767,0.027053,0.027761,0.004942,0.005727
1.144997,0.054777,0.058953,0.021782,0.021443,0.005194,0.006104
1.149998,0.103839,0.098211,0.016701,0.017379,0.005211,0.006161
1.154998,0.147890,0.151083,0.011816,0.011517,0.005034,0.006008
1.159998,0.186934,0.182326,0.007113,0.007754,0.004700,0.005774
1.164998,0.221044,0.223274,0.002570,0.002299,0.004240,0.005265
1.169999,0.250498,0.246838,-0.001826,-0.001221,0.003683,0.004842
1.174999,0.275760,0.277175,-0.006048,-0.006291,0.003058,0.004124
1.179999,0.297533,0.294588,-0.010020,-0.009471,0.002406,0.003619
1.184999,0.316571,0.317460,-0.013737,-0.013935,0.001747,0.002850
1.190000,0.333683,0.331144,-0.017143,-0.016663,0.001113,0.002354
1.195000,0.349624,0.350296,-0.020229,-0.020373,0.000518,0.001654
1.200000,0.365019,0.362614,-0.023110,-0.022680,-0.000064,0.001198
1.205000,0.380343,0.381022,-0.025856,-0.025979,-0.000651,0.000507
1.210001,0.395871,0.393453,-0.028477,-0.028078,-0.001242,0.000043
1.215001,0.411637,0.412383,-0.031016,-0.031131,-0.001857,-0.000683
1.220001,0.427514,0.425097,-0.033531,-0.033147,-0.002514,-0.001201
1.225001,0.443326,0.444084,-0.035994,-0.036106,-0.003195,-0.002005
1.230001,0.458882,0.456542,-0.038369,-0.038010,-0.003878,-0.002544
1.235002,0.473994,0.474691,-0.040621,-0.040717,-0.004549,-0.003339
1.240002,0.488507,0.486315,-0.042717,-0.042399,-0.005189,-0.003845
1.245002,0.502283,0.502865,-0.044594,-0.044656,-0.005754,-0.004516
1.250002,0.515243,0.513246,-0.046210,-0.045950,-0.006216,-0.004880
1.255003,0.527328,0.527767,-0.047627,-0.047655,-0.006600,-0.005335
1.260003,0.538546,0.536756,-0.048902,-0.048677,-0.006930,-0.005596
1.265003,0.548925,0.549236,-0.050063,-0.050073,-0.007215,-0.005934
1.270003,0.558602,0.556987,-0.051081,-0.050889,-0.007433,-0.006105
1.275004,0.567726,0.567961,-0.051956,-0.051942,-0.007575,-0.006273
1.280004,0.576452,0.574956,-0.052702,-0.052542,-0.007647,-0.006329
1.285004,0.584907,0.585125,-0.053343,-0.053315,-0.007667,-0.006351
1.290004,0.593007,0.591623,-0.053928,-0.053786,-0.007664,-0.006349
1.295004,0.600673,0.600850,-0.054428,-0.054389,-0.007612,-0.006285
1.300005,0.607922,0.606666,-0.054778,-0.054671,-0.007462,-0.006165
1.305005,0.614799,0.614947,-0.054954,-0.054883,-0.007199,-0.005847
1.310005,0.621276,0.620148,-0.054960,-0.054888,-0.006826,-0.005548
1.315005,0.627363,0.627486,-0.054872,-0.054787,-0.006397,-0.005034
1.320006,0.633139,0.632126,-0.054756,-0.054695,-0.005956,-0.004681
1.325006,0.638663,0.638788,-0.054632,-0.054547,-0.005517,-0.004153
1.330006,0.643930,0.643024,-0.054445,-0.054400,-0.005041,-0.003774
1.335006,0.648940,0.649070,-0.054133,-0.054030,-0.004482,-0.003104
1.340007,0.653729,0.652924,-0.053712,-0.053696,-0.003846,-0.002597
1.345007,0.658371,0.658529,-0.053149,-0.053022,-0.003107,-0.001710
1.350007,0.662851,0.662140,-0.052413,-0.052433,-0.002234,-0.001012
1.355007,0.666915,0.667046,-0.051513,-0.051358,-0.001241,0.000176
1.360008,0.670117,0.669641,-0.050515,-0.050560,-0.000182,0.001023
1.365008,0.671964,0.671889,-0.049421,-0.049249,0.000947,0.002378
1.370008,0.672070,0.672005,-0.048204,-0.048278,0.002169,0.003355
1.375008,0.670084,0.669655,-0.046828,-0.046629,0.003507,0.004962
1.380008,0.665755,0.666218,-0.045268,-0.045383,0.004977,0.006139
1.385009,0.658925,0.658058,-0.043556,-0.043335,0.006550,0.008027
1.390009,0.649530,0.650564,-0.041747,-0.041892,0.008170,0.009326
1.395009,0.637640,0.636332,-0.039877,-0.039658,0.009799,0.011284
1.400009,0.623400,0.624961,-0.038026,-0.038181,0.011366,0.012543
1.405010,0.607013,0.605334,-0.036189,-0.035986,0.012873,0.014358
1.410010,0.588669,0.590678,-0.034356,-0.034525,0.014325,0.015525
1.415010,0.568631,0.566672,-0.032498,-0.032306,0.015745,0.017237
1.420010,0.547137,0.549499,-0.030659,-0.030841,0.017103,0.018330
1.425011,0.524323,0.522158,-0.028847,-0.028675,0.018389,0.019884
1.430011,0.500305,0.502963,-0.027031,-0.027228,0.019616,0.020872
1.435011,0.475210,0.472880,-0.025213,-0.025056,0.020778,0.022278
1.440011,0.449125,0.452031,-0.023422,-0.023626,0.021854,0.023148
1.445011,0.422107,0.419639,-0.021729,-0.021603,0.022812,0.024309
1.450012,0.394233,0.397356,-0.020149,-0.020345,0.023651,0.024987
1.455012,0.365558,0.362973,-0.018633,-0.018531,0.024394,0.025891
1.460012,0.336144,0.339455,-0.017145,-0.017345,0.025062,0.026431
1.465012,0.306079,0.303398,-0.015661,-0.015570,0.025667,0.027169
1.470013,0.275479,0.278929,-0.014152,-0.014366,0.026222,0.027621
1.475013,0.244441,0.241700,-0.012598,-0.012506,0.026730,0.028243
1.480013,0.213008,0.216563,-0.011007,-0.011236,0.027182,0.028613
1.485013,0.181279,0.178503,-0.009411,-0.009325,0.027572,0.029094
1.490014,0.149365,0.152973,-0.007824,-0.008058,0.027899,0.029364
1.495014,0.117492,0.114735,-0.006193,-0.006105,0.028173,0.029706
1.500014,0.085828,0.089407,-0.004501,-0.004753,0.028393,0.029892
1.505014,0.054520,0.051845,-0.002738,-0.002640,0.028558,0.030104
1.510015,0.023687,0.027177,-0.000951,-0.001211,0.028668,0.030201
1.515015,-0.006545,-0.009098,0.000770,0.000853,0.028724,0.030281
1.520015,-0.036086,-0.032732,0.002370,0.002134,0.028730,0.030294
1.525015,-0.064773,-0.067160,0.003815,0.003867,0.028693,0.030261
1.530015,-0.092548,-0.089382,0.005054,0.004856,0.028628,0.030215
1.535016,-0.119374,-0.121578,0.006071,0.006078,0.028546,0.030124
1.540016,-0.145173,-0.142224,0.006931,0.006765,0.028450,0.030051
1.545016,-0.169814,-0.171802,0.007698,0.007687,0.028335,0.029918
1.550016,-0.193182,-0.190503,0.008366,0.008221,0.028210,0.029821
1.555017,-0.215137,-0.216861,0.008937,0.008909,0.028084,0.029672
1.560017,-0.235613,-0.233249,0.009438,0.009311,0.027955,0.029571
1.565017,-0.254600,-0.256045,0.009843,0.009799,0.027827,0.029420
1.570017,-0.272030,-0.269999,0.010143,0.010040,0.027701,0.029319
1.575018,-0.287875,-0.289029,0.010375,0.010321,0.027567,0.029160
1.580018,-0.302167,-0.300472,0.010549,0.010463,0.027427,0.029047
1.585018,-0.314988,-0.315878,0.010640,0.010573,0.027294,0.028888
1.590018,-0.326467,-0.325072,0.010648,0.010579,0.027173,0.028792
1.595019,-0.336678,-0.337346,0.010540,0.010452,0.027082,0.028681
1.600019,-0.345657,-0.344544,0.010372,0.010320,0.027005,0.028619
1.605019,-0.353371,-0.353823,0.010147,0.010054,0.026944,0.028544
1.610019,-0.359859,-0.359028,0.009940,0.009889,0.026876,0.028489
1.615019,-0.365136,-0.365384,0.009760,0.009673,0.026798,0.028396
1.620020,-0.369270,-0.368706,0.009587,0.009536,0.026721,0.028334
1.625020,-0.372253,-0.372309,0.009398,0.009311,0.026653,0.028251
1.630020,-0.374075,-0.373780,0.009249,0.009191,0.026571,0.028187
1.635020,-0.374848,-0.374731,0.009198,0.009131,0.026452,0.028043
1.640021,-0.374662,-0.374597,0.009263,0.009185,0.026287,0.027910
1.645021,-0.373520,-0.373250,0.009386,0.009329,0.026096,0.027683
1.650021,-0.371446,-0.371603,0.009456,0.009385,0.025920,0.027542
1.655021,-0.368493,-0.368083,0.009483,0.009419,0.025758,0.027348
1.660022,-0.364621,-0.365000,0.009473,0.009411,0.025611,0.027230
1.665022,-0.359829,-0.359273,0.009375,0.009294,0.025501,0.027098
1.670022,-0.354125,-0.354726,0.009186,0.009144,0.025428,0.027040
1.675022,-0.347519,-0.346822,0.008906,0.008807,0.025389,0.026993
1.680022,-0.340086,-0.340888,0.008498,0.008482,0.025395,0.026998
1.685023,-0.331979,-0.331181,0.007930,0.007800,0.025450,0.027066
1.690023,-0.323284,-0.324241,0.007162,0.007185,0.025564,0.027159
