time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
1.940035,0.002514,0.004859,-0.004319
1.945035,0.002639,0.004666,-0.003854
1.950035,0.002908,0.004326,-0.003122
1.955035,0.003650,0.003456,-0.001482
1.960036,0.004326,0.002689,-0.000142
1.965036,0.005523,0.001348,0.002084
1.970036,0.006405,0.000348,0.003668
1.975036,0.007781,-0.001279,0.006097
1.980036,0.008712,-0.002455,0.007728
1.985037,0.010037,-0.004302,0.010124
1.990037,0.010853,-0.005599,0.011680
1.995037,0.011956,-0.007686,0.013845
2.000037,0.012573,-0.009143,0.015189
2.005037,0.013279,-0.011397,0.017084
2.010037,0.013571,-0.012896,0.018268
2.015036,0.013675,-0.014954,0.019764
2.020036,0.013509,-0.016031,0.020450
2.025036,0.012981,-0.016968,0.020861
2.030035,0.012529,-0.017137,0.020779
2.035035,0.011826,-0.016772,0.020256
2.040035,0.011399,-0.016199,0.019691
2.045034,0.010879,-0.014962,0.018615
2.050034,0.010632,-0.013982,0.017804
2.055033,0.010405,-0.012408,0.016513
2.060033,0.010343,-0.011350,0.015625
2.065033,0.010360,-0.009819,0.014279
2.070032,0.010430,-0.008855,0.013392
2.075032,0.010592,-0.007538,0.012096
2.080032,0.010721,-0.006761,0.011267
2.085031,0.010921,-0.005749,0.010123
2.090031,0.011052,-0.005160,0.009457
2.095031,0.011231,-0.004403,0.008584
2.100030,0.011325,-0.003991,0.008114
2.105030,0.011425,-0.003504,0.007572
2.110029,0.011452,-0.003271,0.007324
2.115029,0.011432,-0.003046,0.007150
2.120029,0.011389,-0.002950,0.007121
2.125028,0.011285,-0.002866,0.007175
2.130028,0.011202,-0.002832,0.007263
2.135028,0.011072,-0.002787,0.007416
2.140027,0.010988,-0.002753,0.007488
2.145027,0.010903,-0.002647,0.007561
2.150027,0.010865,-0.002557,0.007593
2.155026,0.010854,-0.002377,0.007587
2.160026,0.010849,-0.002260,0.007558
2.165025,0.010850,-0.002087,0.007483
2.170025,0.010871,-0.001959,0.007400
2.175025,0.010898,-0.001784,0.007232
2.180024,0.010927,-0.001664,0.007064
2.185024,0.011124,-0.001361,0.006608
2.190024,0.011363,-0.001082,0.006162
2.195023,0.011880,-0.000559,0.005265
2.200023,0.012326,-0.000145,0.004544
